country,rank,area,netChange,worldPercentage,density,densityMi,place
India,1,3287590,0.4184,0.1785,480.5033,1244.5036,356
China,2,9706961,-0.0113,0.1781,151.2696,391.7884,156
United States,3,9372610,0.0581,0.0425,37.1686,96.2666,840
Indonesia,4,1904569,0.0727,0.0347,147.8196,382.8528,360
Pakistan,5,881912,0.1495,0.03,311.9625,807.9829,586
Nigeria,6,923768,0.168,0.028,245.7312,636.4439,566
Brazil,7,8515767,0.0393,0.027,25.8936,67.0645,76
Bangladesh,8,147570,0.0557,0.0216,1328.6803,3441.2821,50
Russia,9,17098242,-0.0158,0.018,8.82,22.8439,643
Mexico,10,1964375,0.0299,0.016,66.0797,171.1463,484
Ethiopia,11,1104300,0.1008,0.0158,112.1126,290.3716,231
Japan,12,377930,-0.0209,0.0154,338.2566,876.0845,392
Philippines,13,342353,0.0561,0.0147,393.5251,1019.2299,608
Egypt,14,1002450,0.0551,0.0141,113.2318,293.2704,818
DR Congo,15,2344858,0.105,0.0128,45.1083,116.8305,180
Vietnam,16,331212,0.0208,0.0123,315.411,816.9145,704
Iran,17,1648195,0.0208,0.0111,54.9601,142.3467,364
Turkey,18,783562,0.0143,0.0107,109.5206,283.6584,792
Germany,19,357114,-0.0012,0.0104,238.4002,617.4564,276
Thailand,20,513120,0.003,0.009,140.5416,364.0026,764
United Kingdom,21,242900,0.0072,0.0085,279.9851,725.1615,826
Tanzania,22,945087,0.0622,0.0084,76.1324,197.183,834
France,23,551695,0.004,0.0081,118.2646,306.3052,250
South Africa,24,1221037,0.0173,0.0075,49.8022,128.9876,710
Italy,25,301336,-0.0054,0.0074,199.078,515.6121,380
Kenya,26,580367,0.0346,0.0069,96.8138,250.7477,404
Myanmar,27,676578,0.0125,0.0068,83.6227,216.5827,104
Colombia,28,1141748,0.008,0.0065,46.9447,121.5868,170
South Korea,29,100210,-0.0012,0.0065,530.5744,1374.1876,410
Uganda,30,241550,0.0423,0.0061,242.2817,627.5097,800
Sudan,31,1886068,0.0394,0.006,25.7543,66.7036,729
Spain,32,505992,-0.0014,0.0059,95.1236,246.3702,724
Argentina,33,2780400,0.0091,0.0057,16.726,43.3203,32
Algeria,34,2381741,0.0218,0.0057,19.1484,49.5943,12
Iraq,35,438317,0.0322,0.0057,104.8183,271.4794,368
Afghanistan,36,652230,0.0357,0.0053,64.7622,167.7341,4
Poland,37,312679,-0.0286,0.0051,134.0152,347.0993,616
Canada,38,9984670,0.0104,0.0048,4.3256,11.2032,124
Morocco,39,446550,0.012,0.0047,84.7861,219.596,504
Saudi Arabia,40,2149690,0.0169,0.0046,17.1871,44.5147,682
Ukraine,41,603500,0.0428,0.0046,63.4184,164.2537,804
Angola,42,1246700,0.0352,0.0046,29.425,76.2109,24
